"
Congo DR
","
Ghana
"
Starting XI
1,L. Matampi,[],1,R. Brimah,[]
2,D. Issama,[],23,H. Afful,[]
5,M. Tisserand,"[('yellow-card', ""61'"")]",21,J. Boye,[]
13,L. Mutambala,"[('yellow-card', ""59'"")]",11,M. Wakaso,"[('yellow-card', ""58'"")]"
22,C. Mbemba,[],5,T. Partey,[]
18,M. Bokadi,[],18,D. Amartey,"[('yellow-card', ""74'"")]"
15,R. Mulumba,"[('yellow-card', ""16'""), ('sub-out', ""85'"")]",6,A. Acquah,[]
21,N. Mubele,"[('sub-out', ""83'"")]",7,C. Atsu,[]
8,P. M'Poku,"[('sub-out', ""83'"")]",9,J. Ayew,[]
9,D. Mbokani,[],22,F. Acheampong,[]
6,J. Kabananga,[],10,A. Ayew,[]
