"
Wigan Athletic
","
Nottingham Forest
"
Starting XI
28,J. Haugaard,[],30,S. Henderson,[]
3,J. Buxton,[],4,M. Mancienne,[]
33,D. Burn,[],2,E. Lichaj,[]
23,S. Warnock,[],28,T. Lam,[]
17,M. Jacobs,"[('yellow-card', ""36'"")]",25,J. Hobbs,"[('yellow-card', ""6'"")]"
16,S. MacDonald,"[('yellow-card', ""13'"")]",11,B. Osborn,[]
6,M. Power,"[('yellow-card', ""90'+"")]",41,M. Cash,[]
8,Sam Morsy,[],17,Hildeberto Pereira,"[('yellow-card', ""90'+"")]"
25,N. Powell,"[('sub-out', ""9'"")]",9,B. Assombalonga,"[('sub-out', ""56'"")]"
31,Y. Wildschut,"[('sub-out', ""69'"")]",12,N. Dumitru,"[('sub-out', ""63'"")]"
9,W. Grigg,"[('sub-out', ""88'"")]",14,N. Bendtner,"[('sub-out', ""82'"")]"
