"
Wolfsburg
","
Hamburger SV
"
Starting XI
1,D. Benaglio,"[('yellow-card', ""33'"")]",31,C. Mathenia,[]
34,R. Rodríguez,[],9,K. Papadopoulos,[]
5,J. Bruma,[],22,M. Ostrzolek,"[('yellow-card', ""37'""), ('sub-out', ""84'"")]"
7,D. Caligiuri,"[('sub-out', ""69'"")]",13,M. Mavraj,[]
13,Y. Gerhardt,[],24,G. Sakai,[]
30,P. Seguin,[],6,Douglas Santos,[]
22,Luiz Gustavo,"[('yellow-card', ""85'"")]",20,A. Ekdal,"[('yellow-card', ""28'""), ('sec-yellow-card', ""33'"")]"
10,Y. Mallı,"[('sub-out', ""80'"")]",8,L. Holtby,[]
23,J. Guilavogui,[],17,F. Kostić,[]
9,P. Ntep,"[('sub-out', ""89'"")]",27,N. Müller,[]
33,M. Gómez,[],7,B. Wood,[]
