"
Olympique Marseille
","
Dijon
"
Starting XI
16,Y. Pelé,[],30,B. Reynet,[]
6,Rolando,"[('yellow-card', ""72'"")]",27,C. Varrault,"[('yellow-card', ""67'"")]"
2,H. Sakai,[],5,O. Haddadi,[]
12,H. Bedimo,[],23,V. Rüfli,[]
13,G. Sertic,[],4,J. Lotiès,[]
27,M. Lopez,"[('sub-out', ""76'"")]",17,M. Abeid,"[('yellow-card', ""51'"")]"
19,W. Vainqueur,"[('sub-out', ""89'"")]",20,R. Amalfitano,[]
11,D. Payet,[],3,A. Belmonte,"[('sub-out', ""61'"")]"
8,M. Sanson,[],22,Chang-Hoon Kwon,"[('yellow-card', ""16'""), ('sub-out', ""79'"")]"
26,F. Thauvin,"[('sub-out', ""83'"")]",8,P. Lees Melou,"[('sub-out', ""76'"")]"
18,B. Gomis,"[('yellow-card', ""14'"")]",11,Júlio Tavares,"[('yellow-card', ""36'"")]"
